_id,Category,Community,Status,Target Completion Date,Area,Region,Estimated Total Budget ($),Latitude,Longitude,Raw Completion Date,Municipal Funding_Flag,Provincial Funding_Flag,Federal Funding_Flag,Other Funding_Flag
126,Child care,Brampton,Complete,2024-12-20,Peel,Central,1163870,43.68444,-79.81877,20-Dec,0,1,0,0
127,Child care,Brampton,Complete,2024-07-24,Peel,Central,1536658,43.77533,-79.75133,24-Jul,0,1,0,0
128,Child care,Brampton,Complete,2024-09-22,Peel,Central,1632511,43.70714,-79.77187,22-Sep,0,1,1,0
129,Child care,Brampton,Complete,2024-09-19,Peel,Central,250000,43.636007,-79.779594,19-Sep,0,1,0,0
130,Child care,Brampton,Complete,2024-09-19,Peel,Central,750000,43.771651,-79.78051,19-Sep,0,1,0,0
131,Child care,Brampton,Complete,2024-09-20,Peel,Central,500000,43.873805,-79.860737,20-Sep,0,1,0,0
132,Child care,Brampton,Complete,2024-09-19,Peel,Central,500000,43.702598,-79.829018,19-Sep,0,1,0,0
133,Child care,Brampton,Complete,2024-09-19,Peel,Central,750000,43.682982,-79.816638,19-Sep,0,1,0,0
134,Child care,Brampton,Complete,2024-09-20,Peel,Central,1250000,43.792867,-79.692889,20-Sep,0,1,0,0
135,Child care,Brampton,Complete,2024-09-20,Peel,Central,1500000,43.799717,-79.937213,20-Sep,0,1,0,0
136,Child care,Brampton,Complete,2024-09-19,Peel,Central,500000,43.760426,-79.72755,19-Sep,0,1,0,0
138,Child care,Brampton,Complete,2024-03-22,Peel,Central,1700591,43.78429,-79.72915,22-Mar,0,1,0,0
139,Child care,Brighton,Complete,2024-09-23,Northumberland,East,836906,44.04299,-77.73277,23-Sep,1,1,0,0
140,Child care,Brock,Complete,2024-01-21,Durham,Central,504171,44.34684,-79.04541,21-Jan,0,1,0,0
141,Child care,Brockton,Complete,2024-11-20,Bruce,Southwest,1628489,44.11552,-81.14783,20-Nov,0,1,0,0
142,Child care,Burk's Falls,Complete,2024-09-18,Parry Sound,Northeast,599963,45.61517,-79.40577,18-Sep,0,1,0,0
143,Child care,Burlington,Complete,2024-10-18,Halton,Central,323172,43.36496,-79.84575,18-Oct,0,1,0,0
144,Child care,Burlington,Complete,2024-06-22,Halton,Central,1469908,43.37414,-79.75294,22-Jun,0,1,0,1
146,Child care,Burlington,Complete,2024-09-20,Halton,Central,510000,43.352103,-79.787111,20-Sep,0,1,0,0
147,Child care,Burlington,Planning,2024-03-26,Halton,Central,1636562,43.32084,-79.80753,26-Mar,0,1,0,0
149,Child care,Caledon,Complete,2024-11-20,Peel,Central,1033916,43.9473435,-79.8330385,20-Nov,0,1,0,0
150,Child care,Cambridge,Complete,2024-09-20,Waterloo,Southwest,250000,43.361395,-80.314521,20-Sep,0,1,0,0
151,Child care,Cambridge,Complete,2024-09-22,Waterloo,Southwest,3903649,43.39369,-80.27894,22-Sep,0,1,0,1
152,Child care,Carleton Place,Complete,2024-09-18,Lanark,East,2915000,45.143689,-76.135081,18-Sep,0,1,0,0
153,Child care,Casselman,Complete,2024-09-18,Prescott and Russell,East,260000,45.309809,-75.083765,18-Sep,0,1,0,0
154,Child care,Cavan-Monaghan,Complete,2024-09-19,Peterborough,East,502881,44.28665,-78.38159,19-Sep,0,1,0,0
155,Child care,Central Frontenac,Complete,2024-09-18,Frontenac,East,50000,44.720477,-76.923902,18-Sep,0,1,0,0
156,Child care,Central Manitoulin,Complete,2024-09-18,Manitoulin,Northeast,327711,45.7297,-82.16658,18-Sep,0,1,0,1
157,Child care,Centre Wellington,Complete,2024-09-19,Wellington,Southwest,2080000,43.693394,-80.399479,19-Sep,0,1,0,0
158,Child care,Champlain,Complete,2024-09-20,Prescott and Russell,East,262169,45.52153,-74.64891,20-Sep,0,1,1,0
159,Child care,Chatham-Kent,Complete,2024-03-20,Chatham-Kent,Southwest,2831523,42.37852,-82.18144,20-Mar,0,1,0,1
160,Child care,Chatham-Kent,Complete,2024-09-19,Chatham-Kent,Southwest,1560000,42.415832,-82.199229,19-Sep,0,1,0,0
161,Child care,Chatham-Kent,Complete,2024-09-19,Chatham-Kent,Southwest,1560000,42.579966,-82.3833,19-Sep,0,1,0,0
162,Child care,Chatham-Kent,Complete,2024-09-18,Chatham-Kent,Southwest,1300000,42.408481,-82.209633,18-Sep,0,1,0,0
163,Child care,Clarence-Rockland,Complete,2024-01-20,Prescott and Russell,East,675725,45.54567,-75.2867,20-Jan,0,1,0,0
164,Child care,Clarence-Rockland,Complete,2024-06-23,Prescott and Russell,East,262169,45.43703,-75.15782,23-Jun,0,1,1,0
165,Child care,Clarence-Rockland,Complete,2024-09-18,Prescott and Russell,East,520000,45.537884,-75.296526,18-Sep,0,1,0,0
166,Child care,Clarington,Complete,2024-09-19,Durham,Central,293068,43.92419,-78.6741,19-Sep,0,1,0,0
