_id,Category,Status,Estimated Total Budget ($),Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Latitude,Longitude,Target_Year
1194,Education,Planning,3913731,0,1,0,0,42.25996585,-82.99270861,2025
1195,Education,Planning,3707993,0,1,0,0,42.2627564,-83.02799444,2025
1196,Education,Planning,3681719,0,1,0,0,43.71766611,-80.95258667,2025
1197,Education,Complete,3770280,0,1,0,0,43.1493,-80.7151,2025
1198,Education,Under construction,31952431,0,1,0,0,43.16190253,-80.75865183,2025
1199,Education,Under construction,11098631,0,1,0,0,43.1471,-80.7322,2025
1200,Education,Complete,13660541,0,1,0,0,43.60141,-80.57063,2025
1201,Education,Complete,10383010,0,1,0,0,43.46961382,-80.41569672,2025
1202,Education,Planning,16552917,0,1,0,0,43.49303978,-80.40094316,2025
1205,Education,Complete,5808808,0,1,0,0,43.16773,-80.29071,2025
1206,Education,Complete,10337291,0,1,0,1,42.91261163,-79.61740088,2025
1207,Education,Complete,1281990,0,1,0,0,42.9141,-79.63072,2025
1208,Education,Planning,6180145,0,1,0,0,42.83702,-80.31406,2025
1209,Education,Complete,1183044,0,1,0,1,42.85253,-80.48872,2025
1210,Education,Complete,980000,0,1,0,0,42.91261163,-79.61740088,2025
1211,Education,Under construction,18067279,1,1,0,0,43.122113,-80.299625,2025
1212,Education,Under construction,18935580,0,1,0,0,43.07348954,-79.93126346,2025
1213,Education,Under construction,14118466,0,1,0,0,43.07348954,-79.93126346,2025
1216,Communities,Complete,9500000,0,1,0,0,46.365551,-79.403123,2025
1218,Communities,Complete,25000000,0,1,0,0,48.379044,-89.332477,2025
1219,Health care,Complete,0,0,1,0,1,48.753595,-91.598441,2025
1220,Health care,Complete,372605793,0,1,0,1,44.415046,-79.662803,2025
1221,Health care,Complete,0,0,0,0,0,44.415046,-79.662803,2025
1222,Health care,Planning,0,0,1,0,1,44.3924592,-79.69897044,2025
1223,Health care,Complete,0,0,1,0,1,44.162698,-77.364334,2025
1224,Health care,Planning,0,0,1,0,1,44.11706578,-77.57988556,2025
1225,Health care,Planning,0,0,1,0,0,44.10414402,-77.58803047,2025
1226,Health care,Complete,609200,0,1,0,0,46.187155,-82.924852,2025
1227,Health care,Under construction,28376900,0,1,0,1,43.15307991,-80.27616937,2025
1228,Health care,Under construction,9603400,0,1,0,1,43.15307991,-80.27616937,2025
1229,Health care,Complete,538347570,0,1,0,1,43.690668,-79.751022,2025
1230,Health care,Planning,0,0,1,0,1,43.690271,-79.751051,2025
1231,Health care,Planning,0,0,1,0,1,43.690271,-79.751051,2025
1232,Health care,Planning,0,0,1,0,1,43.690271,-79.751051,2025
1233,Health care,Under construction,16574200,0,1,0,1,44.35148092,-79.03584713,2025
1234,Health care,Complete,159170500,0,1,0,1,44.598169,-75.681639,2025
1235,Health care,Planning,0,0,1,0,1,44.61243396,-75.69239477,2025
1236,Health care,Complete,0,0,1,0,1,43.317192,-79.802582,2025
1237,Health care,Planning,0,0,1,0,1,43.91992765,-80.07381215,2025
1238,Health care,Complete,244064662,0,1,0,1,43.378066,-80.328309,2025
1239,Health care,Complete,18200800,0,1,0,1,45.14109002,-76.13674518,2025
1240,Health care,Complete,144336500,0,1,0,1,43.705509,-80.372819,2025
1241,Health care,Planning,0,0,1,0,1,42.60908175,-82.36755745,2025
1242,Health care,Planning,0,0,1,0,1,43.908842,-78.677997,2025
1243,Health care,Complete,1039200,0,1,0,1,43.90605788,-78.66286192,2025
1244,Health care,Complete,115476892,0,1,0,1,45.030316,-74.718353,2025
1245,Health care,Planning,0,0,1,0,1,45.030316,-74.718353,2025
1246,Health care,Planning,0,0,1,0,1,49.76977892,-92.83900285,2025
1247,Health care,Planning,0,0,1,0,1,44.10360858,-79.12761968,2025
1248,Health care,Complete,0,0,1,0,1,46.248285,-81.783185,2025
1249,Health care,Planning,0,0,1,0,0,48.63089192,-93.35955468,2025
1250,Health care,Complete,6734200,0,1,0,0,44.246659,-76.951797,2025
1251,Health care,Complete,22826100,0,1,0,1,46.467734,-80.996267,2025
1252,Health care,Complete,18195100,0,1,0,1,46.52196792,-80.97981513,2025
1253,Health care,Under construction,16750000,0,1,0,1,46.46673544,-80.96669052,2025
1254,Health care,Complete,56462449,0,1,0,1,44.318169,-80.650172,2025
1255,Health care,Under construction,246749100,0,1,0,1,43.18845154,-79.54188454,2025
1256,Health care,Under construction,0,0,1,0,1,43.55658562,-80.25330569,2025
1257,Health care,Complete,93237625,0,1,0,1,43.259495,-79.91747,2025
1258,Health care,Complete,25166200,0,1,0,1,43.2399,-79.8464,2025
1259,Health care,Complete,1091189022,0,1,0,1,43.249229,-79.870265,2025
1261,Health care,Planning,0,0,1,0,1,43.24903,-79.84298657,2025
1262,Health care,Planning,0,0,1,0,0,43.24903,-79.84298657,2025
1263,Health care,Complete,17362900,0,1,0,1,43.25608486,-79.84854793,2025
1264,Health care,Under construction,16680900,0,1,0,1,43.26211273,-79.95808907,2025
1265,Health care,Planning,0,0,1,0,1,43.26482429,-79.85546794,2025
1266,Health care,Planning,0,0,1,0,1,43.25283455,-79.87309125,2025
1267,Health care,Complete,146530420,0,1,0,1,45.599498,-74.607557,2025
1268,Health care,Planning,0,0,1,0,1,44.35392389,-78.75086697,2025
1269,Health care,Planning,0,0,1,0,1,44.35392389,-78.75086697,2025
1270,Health care,Under construction,0,0,1,0,0,49.7651494,-94.48761896,2025
1271,Health care,Under construction,0,0,1,0,0,49.7651494,-94.48761896,2025
1272,Health care,Under construction,6262400,0,1,0,1,49.76811369,-94.49919286,2025
